"Yeast1";"Freq"
"537";"ispi_694";4
"538";"ispi_698";8
"539";"ispi_7";1
"540";"ispi_702";1
"541";"ispi_703";1
"542";"ispi_705";1
"543";"ispi_709";1
"544";"ispi_71";1
"545";"ispi_710";1
"546";"ispi_711";1
"547";"ispi_713";3
"548";"ispi_72";2
"549";"ispi_720";1
"550";"ispi_723";1
"551";"ispi_724";1
"552";"ispi_725";1
"553";"ispi_726";1
"554";"ispi_727";1
"555";"ispi_73";3
"556";"ispi_731";1
"557";"ispi_736";4
"558";"ispi_741";1
"559";"ispi_742";1
"560";"ispi_743";1
"561";"ispi_745";4
"562";"ispi_746";5
"563";"ispi_747";4
"564";"ispi_75";4
"565";"ispi_751";1
"566";"ispi_752";3
"567";"ispi_754";2
"568";"ispi_755";1
"569";"ispi_756";2
"570";"ispi_757";4
"571";"ispi_759";1
"572";"ispi_76";1
"573";"ispi_761";4
"574";"ispi_763";1
"575";"ispi_764";2
"576";"ispi_765";3
"577";"ispi_767";5
"578";"ispi_768";1
"579";"ispi_769";3
"580";"ispi_77";1
"581";"ispi_770";5
"582";"ispi_778";6
"583";"ispi_783";1
"584";"ispi_784";1
"585";"ispi_785";1
"586";"ispi_787";3
"587";"ispi_79";1
"588";"ispi_790";6
"589";"ispi_791";3
"590";"ispi_792";1
"591";"ispi_794";1
"592";"ispi_795";1
"593";"ispi_798";1
"594";"ispi_799";1
"595";"ispi_80";3
"596";"ispi_800";2
"597";"ispi_801";3
"598";"ispi_805";1
"599";"ispi_807";1
"600";"ispi_808";1
"601";"ispi_809";2
"602";"ispi_81";3
"603";"ispi_811";1
"604";"ispi_812";3
"605";"ispi_814";3
"606";"ispi_816";1
"607";"ispi_817";1
"608";"ispi_818";1
"609";"ispi_823";1
"610";"ispi_824";1
"611";"ispi_825";1
"612";"ispi_826";2
"613";"ispi_827";1
"614";"ispi_829";1
"615";"ispi_83";2
"616";"ispi_831";3
"617";"ispi_832";3
"618";"ispi_834";4
"619";"ispi_835";1
"620";"ispi_836";1
"621";"ispi_84";3
"622";"ispi_844";2
"623";"ispi_845";1
"624";"ispi_846";1
"625";"ispi_847";3
"626";"ispi_848";2
"627";"ispi_85";2
