"iTO977";"Freq"
"594";"ispi_767";4
"595";"ispi_768";1
"596";"ispi_769";3
"597";"ispi_77";1
"598";"ispi_770";2
"599";"ispi_772";2
"600";"ispi_778";3
"601";"ispi_786";1
"602";"ispi_79";1
"603";"ispi_792";2
"604";"ispi_794";2
"605";"ispi_799";1
"606";"ispi_80";2
"607";"ispi_800";1
"608";"ispi_807";1
"609";"ispi_808";1
"610";"ispi_810";1
"611";"ispi_811";1
"612";"ispi_816";1
"613";"ispi_820";3
"614";"ispi_822";3
"615";"ispi_823";2
"616";"ispi_824";1
"617";"ispi_825";1
"618";"ispi_826";2
"619";"ispi_828";1
"620";"ispi_829";1
"621";"ispi_830";1
"622";"ispi_831";1
"623";"ispi_833";1
"624";"ispi_834";4
"625";"ispi_835";1
"626";"ispi_837";1
"627";"ispi_838";1
"628";"ispi_839";1
"629";"ispi_842";1
"630";"ispi_843";1
"631";"ispi_844";2
"632";"ispi_845";1
"633";"ispi_847";1
"634";"ispi_848";2
"635";"ispi_849";1
"636";"ispi_85";2
"637";"ispi_851";2
"638";"ispi_852";1
"639";"ispi_854";1
"640";"ispi_855";1
"641";"ispi_856";1
"642";"ispi_857";1
"643";"ispi_858";1
"644";"ispi_86";2
"645";"ispi_860";1
"646";"ispi_862";2
"647";"ispi_863";1
"648";"ispi_865";1
"649";"ispi_867";1
"650";"ispi_868";1
"651";"ispi_872";3
"652";"ispi_873";1
"653";"ispi_879";2
"654";"ispi_88";1
"655";"ispi_880";1
"656";"ispi_881";1
"657";"ispi_882";2
"658";"ispi_883";3
"659";"ispi_884";2
"660";"ispi_885";2
"661";"ispi_889";1
"662";"ispi_89";1
"663";"ispi_891";3
"664";"ispi_892";1
"665";"ispi_893";1
"666";"ispi_894";1
"667";"ispi_897";1
"668";"ispi_898";1
"669";"ispi_90";2
"670";"ispi_900";4
"671";"ispi_903";1
"672";"ispi_905";1
"673";"ispi_907";1
"674";"ispi_908";1
"675";"ispi_91";1
"676";"ispi_911";2
"677";"ispi_912";3
"678";"ispi_915";2
"679";"ispi_92";2
"680";"ispi_920";1
"681";"ispi_922";1
"682";"ispi_923";1
"683";"ispi_924";1
"684";"ispi_925";1
"685";"ispi_926";1
"686";"ispi_93";2
"687";"ispi_930";2
"688";"ispi_933";1
"689";"ispi_934";2
"690";"ispi_935";3
"691";"ispi_936";1
"692";"ispi_939";1
"693";"ispi_940";1
"694";"ispi_941";1
"695";"ispi_942";2
"696";"ispi_946";1
"697";"ispi_948";2
"698";"ispi_95";2
"699";"ispi_951";3
"700";"ispi_953";2
"701";"ispi_957";1
"702";"ispi_958";2
"703";"ispi_959";1
"704";"ispi_96";2
"705";"ispi_960";2
"706";"ispi_963";1
"707";"ispi_964";1
"708";"ispi_965";1
"709";"ispi_966";1
"710";"ispi_968";1
"711";"ispi_969";3
"712";"ispi_97";2
"713";"ispi_970";1
"714";"ispi_971";2
"715";"ispi_976";1
"716";"ispi_977";1
"717";"ispi_978";4
"718";"ispi_98";2
"719";"ispi_982";2
"720";"ispi_987";2
"721";"ispi_989";3
"722";"ispi_991";1
"723";"ispi_993";2
"724";"ispi_994";3
"725";"ispi_996";1
"726";"ispi_999";4
"727";"uspi_1122";1
"728";"uspi_288";1
"729";"uspi_290";1
"730";"uspi_292";1
"731";"uspi_300";1
"732";"uspi_302";1
"733";"uspi_304";1
"734";"uspi_307";1
"735";"uspi_310";1
"736";"uspi_315";1
"737";"uspi_322";1
"738";"uspi_323";1
"739";"uspi_334";1
"740";"uspi_335";1
"741";"uspi_344";1
"742";"uspi_442";1
"743";"uspi_445";1
"744";"uspi_448";1
"745";"uspi_459";1
"746";"uspi_464";1
"747";"uspi_467";1
"748";"uspi_468";1
"749";"uspi_478";1
"750";"uspi_479";1
"751";"uspi_480";1
"752";"uspi_483";1
"753";"uspi_485";1
"754";"uspi_564";1
"755";"uspi_597";1
"756";"uspi_623";1
"757";"uspi_624";1
"758";"uspi_625";1
"759";"uspi_626";1
"760";"uspi_637";1
"761";"uspi_695";1
"762";"uspi_721";1
"763";"uspi_753";1
"764";"uspi_815";1
"765";"uspi_840";1
"766";"uspi_853";1
"767";"uspi_859";1
