"iAZ900";"Freq"
"114";"ispi_1248";1
"115";"ispi_1249";1
"116";"ispi_125";1
"117";"ispi_1250";4
"118";"ispi_1253";1
"119";"ispi_1257";1
"120";"ispi_126";2
"121";"ispi_1260";1
"122";"ispi_1262";2
"123";"ispi_1263";1
"124";"ispi_1265";2
"125";"ispi_1266";1
"126";"ispi_1267";2
"127";"ispi_1268";2
"128";"ispi_1269";1
"129";"ispi_1270";1
"130";"ispi_1271";3
"131";"ispi_1273";1
"132";"ispi_1277";2
"133";"ispi_128";3
"134";"ispi_1280";1
"135";"ispi_1281";1
"136";"ispi_1288";1
"137";"ispi_1289";4
"138";"ispi_1292";1
"139";"ispi_1293";1
"140";"ispi_1296";1
"141";"ispi_1298";1
"142";"ispi_1299";1
"143";"ispi_13";1
"144";"ispi_1300";1
"145";"ispi_1303";1
"146";"ispi_1305";1
"147";"ispi_1306";2
"148";"ispi_1308";2
"149";"ispi_131";1
"150";"ispi_1310";3
"151";"ispi_1311";1
"152";"ispi_1315";2
"153";"ispi_1316";1
"154";"ispi_1318";2
"155";"ispi_1319";1
"156";"ispi_132";2
"157";"ispi_1324";4
"158";"ispi_1327";1
"159";"ispi_1328";1
"160";"ispi_133";1
"161";"ispi_1330";1
"162";"ispi_1332";1
"163";"ispi_1333";1
"164";"ispi_1334";4
"165";"ispi_1335";4
"166";"ispi_1338";1
"167";"ispi_134";4
"168";"ispi_1343";2
"169";"ispi_1347";2
"170";"ispi_135";3
"171";"ispi_1350";3
"172";"ispi_1352";1
"173";"ispi_1353";4
"174";"ispi_1358";3
"175";"ispi_136";2
"176";"ispi_1361";1
"177";"ispi_1363";2
"178";"ispi_1367";1
"179";"ispi_1369";1
"180";"ispi_137";1
"181";"ispi_1371";2
"182";"ispi_1372";3
"183";"ispi_1376";2
"184";"ispi_1378";3
"185";"ispi_1385";1
"186";"ispi_1386";5
"187";"ispi_139";2
"188";"ispi_1391";3
"189";"ispi_1395";4
"190";"ispi_1397";2
"191";"ispi_140";5
"192";"ispi_1400";2
"193";"ispi_1401";1
"194";"ispi_1402";2
"195";"ispi_1407";4
"196";"ispi_1408";1
"197";"ispi_1409";3
"198";"ispi_141";1
"199";"ispi_1411";1
"200";"ispi_1412";1
"201";"ispi_1414";5
"202";"ispi_1416";3
"203";"ispi_1417";1
"204";"ispi_1418";2
"205";"ispi_142";1
"206";"ispi_1420";3
"207";"ispi_1423";2
"208";"ispi_1424";1
"209";"ispi_1426";1
"210";"ispi_1429";4
"211";"ispi_143";1
"212";"ispi_1430";2
"213";"ispi_1432";1
"214";"ispi_1436";1
"215";"ispi_1444";1
"216";"ispi_1446";2
"217";"ispi_145";1
"218";"ispi_1454";2
"219";"ispi_1455";1
"220";"ispi_1456";3
"221";"ispi_1458";2
"222";"ispi_1459";4
"223";"ispi_146";1
"224";"ispi_1461";1
"225";"ispi_1462";1
"226";"ispi_1463";5
"227";"ispi_1465";1
"228";"ispi_1467";3
"229";"ispi_147";1
"230";"ispi_1476";2
"231";"ispi_1479";2
"232";"ispi_148";1
"233";"ispi_1481";3
"234";"ispi_1485";2
"235";"ispi_149";1
"236";"ispi_1490";2
"237";"ispi_1492";1
"238";"ispi_1493";1
"239";"ispi_1494";1
"240";"ispi_1495";2
"241";"ispi_1496";1
"242";"ispi_1497";1
"243";"ispi_1499";1
"244";"ispi_15";1
"245";"ispi_150";1
"246";"ispi_1500";4
"247";"ispi_1501";1
"248";"ispi_1502";2
"249";"ispi_1503";1
"250";"ispi_1504";4
"251";"ispi_1507";4
"252";"ispi_1508";1
"253";"ispi_1511";1
"254";"ispi_1512";3
"255";"ispi_1513";1
"256";"ispi_1515";4
"257";"ispi_1516";4
"258";"ispi_1519";1
"259";"ispi_152";1
"260";"ispi_1522";1
"261";"ispi_1523";1
"262";"ispi_1525";4
"263";"ispi_1527";1
"264";"ispi_1530";3
"265";"ispi_1532";1
"266";"ispi_1533";1
"267";"ispi_1534";1
"268";"ispi_1539";1
"269";"ispi_154";3
"270";"ispi_1540";1
"271";"ispi_1542";1
"272";"ispi_1543";2
"273";"ispi_1545";4
"274";"ispi_1546";5
"275";"ispi_1547";1
"276";"ispi_1549";3
"277";"ispi_155";1
"278";"ispi_1550";2
"279";"ispi_1551";3
"280";"ispi_1552";2
"281";"ispi_1553";2
"282";"ispi_1556";1
"283";"ispi_1559";3
"284";"ispi_156";1
"285";"ispi_157";1
"286";"ispi_158";3
"287";"ispi_159";1
"288";"ispi_16";2
"289";"ispi_160";4
"290";"ispi_161";1
"291";"ispi_162";3
"292";"ispi_163";1
"293";"ispi_166";1
"294";"ispi_167";1
"295";"ispi_168";3
"296";"ispi_169";4
"297";"ispi_170";1
"298";"ispi_171";2
"299";"ispi_172";2
"300";"ispi_174";1
"301";"ispi_175";1
"302";"ispi_177";1
"303";"ispi_179";1
"304";"ispi_18";1
"305";"ispi_180";1
"306";"ispi_181";1
"307";"ispi_183";2
"308";"ispi_184";1
"309";"ispi_19";2
"310";"ispi_197";1
"311";"ispi_2";1
"312";"ispi_20";1
"313";"ispi_205";2
"314";"ispi_206";1
"315";"ispi_207";3
"316";"ispi_21";2
"317";"ispi_210";2
"318";"ispi_213";5
"319";"ispi_219";3
"320";"ispi_22";2
"321";"ispi_224";7
"322";"ispi_23";1
"323";"ispi_230";2
"324";"ispi_232";4
"325";"ispi_234";1
"326";"ispi_236";1
"327";"ispi_24";2
"328";"ispi_240";5
"329";"ispi_244";1
"330";"ispi_249";2
"331";"ispi_25";1
"332";"ispi_254";1
"333";"ispi_256";2
"334";"ispi_258";1
"335";"ispi_259";3
"336";"ispi_26";3
"337";"ispi_260";1
"338";"ispi_261";2
"339";"ispi_262";2
"340";"ispi_265";1
"341";"ispi_27";2
"342";"ispi_28";1
"343";"ispi_285";2
"344";"ispi_289";2
"345";"ispi_291";1
"346";"ispi_293";1
"347";"ispi_294";1
"348";"ispi_295";1
"349";"ispi_296";1
"350";"ispi_297";3
"351";"ispi_299";4
"352";"ispi_3";1
"353";"ispi_30";1
"354";"ispi_311";1
"355";"ispi_312";1
"356";"ispi_313";4
"357";"ispi_317";1
"358";"ispi_32";5
"359";"ispi_324";3
"360";"ispi_327";2
"361";"ispi_33";4
"362";"ispi_338";1
"363";"ispi_339";2
"364";"ispi_34";1
"365";"ispi_341";1
"366";"ispi_342";1
"367";"ispi_343";1
"368";"ispi_346";4
"369";"ispi_347";1
"370";"ispi_349";2
"371";"ispi_352";3
"372";"ispi_355";1
"373";"ispi_357";4
"374";"ispi_359";1
"375";"ispi_360";1
"376";"ispi_361";1
"377";"ispi_364";4
"378";"ispi_366";2
"379";"ispi_368";1
"380";"ispi_371";1
"381";"ispi_372";2
"382";"ispi_375";1
"383";"ispi_376";1
"384";"ispi_377";1
"385";"ispi_378";1
"386";"ispi_38";4
"387";"ispi_380";2
"388";"ispi_381";2
"389";"ispi_383";5
"390";"ispi_384";3
"391";"ispi_391";3
"392";"ispi_392";1
"393";"ispi_4";2
"394";"ispi_40";4
"395";"ispi_400";1
"396";"ispi_404";1
"397";"ispi_405";4
"398";"ispi_406";1
"399";"ispi_409";1
"400";"ispi_411";4
"401";"ispi_412";2
"402";"ispi_413";5
"403";"ispi_414";5
"404";"ispi_415";3
"405";"ispi_416";1
"406";"ispi_417";1
"407";"ispi_418";3
"408";"ispi_420";1
"409";"ispi_423";2
"410";"ispi_432";1
"411";"ispi_433";1
"412";"ispi_434";1
"413";"ispi_437";1
"414";"ispi_439";1
"415";"ispi_44";6
"416";"ispi_440";2
"417";"ispi_449";1
"418";"ispi_453";2
"419";"ispi_455";1
"420";"ispi_46";2
"421";"ispi_463";2
"422";"ispi_469";1
"423";"ispi_470";1
"424";"ispi_476";6
"425";"ispi_481";1
"426";"ispi_482";1
"427";"ispi_484";2
"428";"ispi_486";5
"429";"ispi_49";2
"430";"ispi_490";2
"431";"ispi_492";1
"432";"ispi_499";3
"433";"ispi_501";1
"434";"ispi_505";1
"435";"ispi_506";2
"436";"ispi_508";3
"437";"ispi_512";2
"438";"ispi_514";3
"439";"ispi_517";3
"440";"ispi_519";1
"441";"ispi_52";1
"442";"ispi_524";1
"443";"ispi_53";1
"444";"ispi_530";1
"445";"ispi_531";7
"446";"ispi_532";1
"447";"ispi_533";1
"448";"ispi_534";1
"449";"ispi_535";1
"450";"ispi_536";1
"451";"ispi_537";2
"452";"ispi_538";1
"453";"ispi_539";1
"454";"ispi_540";6
"455";"ispi_541";4
"456";"ispi_543";1
"457";"ispi_544";1
"458";"ispi_545";2
"459";"ispi_546";4
"460";"ispi_547";1
"461";"ispi_548";2
"462";"ispi_555";4
"463";"ispi_56";2
"464";"ispi_560";2
"465";"ispi_565";2
"466";"ispi_568";5
"467";"ispi_569";1
"468";"ispi_574";1
"469";"ispi_578";1
"470";"ispi_58";3
"471";"ispi_584";1
"472";"ispi_588";1
"473";"ispi_589";3
"474";"ispi_594";1
"475";"ispi_595";1
"476";"ispi_596";1
"477";"ispi_598";1
"478";"ispi_599";1
"479";"ispi_600";6
"480";"ispi_601";1
"481";"ispi_604";1
"482";"ispi_605";1
"483";"ispi_606";1
"484";"ispi_609";2
"485";"ispi_61";1
"486";"ispi_610";2
"487";"ispi_615";3
"488";"ispi_616";1
"489";"ispi_617";1
"490";"ispi_618";2
"491";"ispi_619";3
"492";"ispi_62";1
"493";"ispi_620";1
"494";"ispi_621";1
"495";"ispi_628";1
"496";"ispi_63";1
"497";"ispi_630";3
"498";"ispi_631";1
"499";"ispi_632";3
"500";"ispi_635";1
"501";"ispi_636";1
"502";"ispi_639";1
"503";"ispi_640";1
"504";"ispi_642";3
"505";"ispi_643";3
"506";"ispi_648";3
"507";"ispi_649";1
"508";"ispi_652";1
"509";"ispi_653";2
"510";"ispi_654";1
"511";"ispi_655";1
"512";"ispi_656";1
"513";"ispi_657";2
"514";"ispi_659";2
"515";"ispi_661";4
"516";"ispi_662";3
"517";"ispi_665";1
"518";"ispi_666";4
"519";"ispi_669";1
"520";"ispi_670";1
"521";"ispi_671";9
"522";"ispi_673";1
"523";"ispi_674";3
"524";"ispi_675";2
"525";"ispi_677";4
"526";"ispi_678";2
"527";"ispi_68";2
"528";"ispi_681";3
"529";"ispi_682";1
"530";"ispi_683";2
"531";"ispi_685";6
"532";"ispi_686";1
"533";"ispi_689";2
"534";"ispi_69";1
"535";"ispi_691";1
"536";"ispi_692";3
"537";"ispi_693";1
"538";"ispi_694";4
"539";"ispi_696";1
"540";"ispi_697";1
"541";"ispi_7";1
"542";"ispi_70";2
"543";"ispi_704";2
"544";"ispi_71";1
"545";"ispi_710";1
"546";"ispi_711";1
"547";"ispi_713";3
"548";"ispi_719";1
"549";"ispi_720";1
"550";"ispi_722";1
"551";"ispi_723";1
"552";"ispi_724";1
"553";"ispi_725";1
"554";"ispi_726";1
"555";"ispi_727";1
"556";"ispi_73";2
"557";"ispi_730";1
"558";"ispi_731";1
"559";"ispi_734";2
"560";"ispi_736";4
"561";"ispi_74";1
"562";"ispi_741";1
"563";"ispi_742";1
"564";"ispi_743";1
"565";"ispi_744";1
"566";"ispi_745";4
"567";"ispi_746";4
"568";"ispi_747";4
"569";"ispi_748";1
"570";"ispi_75";4
"571";"ispi_751";1
"572";"ispi_752";3
"573";"ispi_754";2
"574";"ispi_755";1
"575";"ispi_756";2
"576";"ispi_757";4
"577";"ispi_759";1
"578";"ispi_76";1
"579";"ispi_761";4
"580";"ispi_762";1
"581";"ispi_763";2
"582";"ispi_764";2
"583";"ispi_765";3
"584";"ispi_767";5
"585";"ispi_768";1
"586";"ispi_769";3
"587";"ispi_77";1
"588";"ispi_772";2
"589";"ispi_773";1
"590";"ispi_778";4
"591";"ispi_783";1
"592";"ispi_784";1
"593";"ispi_785";1
"594";"ispi_786";1
"595";"ispi_787";3
"596";"ispi_79";1
"597";"ispi_793";1
"598";"ispi_794";1
"599";"ispi_796";1
"600";"ispi_799";1
"601";"ispi_8";1
"602";"ispi_80";3
"603";"ispi_800";1
"604";"ispi_801";2
"605";"ispi_806";1
"606";"ispi_807";1
"607";"ispi_808";1
"608";"ispi_809";1
"609";"ispi_81";1
"610";"ispi_811";1
"611";"ispi_816";1
"612";"ispi_823";1
"613";"ispi_824";2
"614";"ispi_83";2
"615";"ispi_831";2
"616";"ispi_834";4
"617";"ispi_835";1
"618";"ispi_844";3
"619";"ispi_845";1
"620";"ispi_847";3
"621";"ispi_848";2
"622";"ispi_85";1
"623";"ispi_851";3
"624";"ispi_854";1
"625";"ispi_855";4
"626";"ispi_856";1
"627";"ispi_86";2
"628";"ispi_860";1
"629";"ispi_862";3
"630";"ispi_864";1
"631";"ispi_865";2
"632";"ispi_87";4
"633";"ispi_870";1
"634";"ispi_875";2
"635";"ispi_879";1
"636";"ispi_88";1
"637";"ispi_880";1
"638";"ispi_882";2
"639";"ispi_883";4
"640";"ispi_885";3
"641";"ispi_886";2
"642";"ispi_887";1
"643";"ispi_89";1
"644";"ispi_895";1
"645";"ispi_9";1
"646";"ispi_900";6
"647";"ispi_901";2
"648";"ispi_902";3
"649";"ispi_905";1
"650";"ispi_907";1
"651";"ispi_91";1
"652";"ispi_910";1
"653";"ispi_911";1
"654";"ispi_912";4
"655";"ispi_913";1
"656";"ispi_914";4
"657";"ispi_915";3
"658";"ispi_919";2
"659";"ispi_92";4
"660";"ispi_920";1
"661";"ispi_921";2
"662";"ispi_922";1
"663";"ispi_923";2
"664";"ispi_925";1
"665";"ispi_926";1
"666";"ispi_928";1
"667";"ispi_929";1
"668";"ispi_93";3
"669";"ispi_930";3
"670";"ispi_933";2
"671";"ispi_935";4
"672";"ispi_94";1
"673";"ispi_941";1
"674";"ispi_942";2
"675";"ispi_945";1
"676";"ispi_948";3
"677";"ispi_949";1
"678";"ispi_95";4
"679";"ispi_951";4
"680";"ispi_954";3
"681";"ispi_955";1
"682";"ispi_958";2
"683";"ispi_96";3
"684";"ispi_960";2
"685";"ispi_967";1
"686";"ispi_969";4
"687";"ispi_971";3
"688";"ispi_974";2
"689";"ispi_975";2
"690";"ispi_976";1
"691";"ispi_977";1
"692";"ispi_978";4
"693";"ispi_979";2
"694";"ispi_98";2
"695";"ispi_982";3
"696";"ispi_984";3
"697";"ispi_986";1
"698";"ispi_987";2
"699";"ispi_989";3
"700";"ispi_990";2
"701";"ispi_991";2
"702";"ispi_992";1
"703";"ispi_993";2
"704";"ispi_994";4
"705";"ispi_997";3
"706";"ispi_999";2
"707";"uspi_1200";1
"708";"uspi_1251";1
"709";"uspi_950";1
