Reaction;iAZ900;iFF708;iLL672;iMM904;iND750;iTO977;Yeast1;Yeast6;Yeast7
imrxn_2210;0;1;1;1;1;1;1;1;1
imrxn_2211;0;1;1;0;0;1;0;0;0
imrxn_2212;0;0;0;1;1;0;1;1;1
imrxn_2213;0;1;0;0;0;1;0;1;0
imrxn_2214;0;0;0;0;0;0;0;1;1
imrxn_2215;0;0;0;0;0;0;0;1;1
imrxn_2216;1;1;1;1;1;1;1;1;1
imrxn_2217;0;0;0;0;0;1;1;1;1
imrxn_2218;1;0;0;0;0;0;0;1;1
imrxn_2219;1;1;1;0;0;1;0;0;0
imrxn_2220;0;0;0;0;0;1;0;0;0
imrxn_2221;1;0;0;1;1;0;1;1;1
imrxn_2222;0;1;1;1;1;1;1;1;1
imrxn_2223;1;1;0;1;1;1;1;1;1
imrxn_2224;1;0;1;0;0;0;0;0;0
imrxn_2225;1;0;0;1;1;0;1;0;0
imrxn_2226;0;0;1;0;0;0;0;0;0
imrxn_2227;0;0;0;0;0;1;0;0;0
imrxn_2228;1;0;0;1;1;0;0;0;0
imrxn_2229;1;0;0;0;0;1;0;0;0
imrxn_2230;0;1;1;1;1;1;1;1;1
imrxn_2231;1;1;1;1;1;1;1;1;1
imrxn_2232;0;0;0;1;0;0;1;0;0
imrxn_2233;1;0;0;0;0;0;0;1;1
imrxn_2234;1;0;0;1;1;0;0;0;0
imrxn_2235;0;0;0;0;0;0;0;1;1
imrxn_2236;0;0;0;1;1;0;1;1;0
imrxn_2237;0;0;0;1;1;0;1;1;1
imrxn_2238;0;0;0;1;0;0;1;1;1
imrxn_2239;1;0;0;0;0;0;0;1;1
imrxn_2240;0;0;0;0;0;0;0;1;1
imrxn_2241;0;0;0;1;0;0;0;0;0
imrxn_2242;1;1;1;0;0;1;0;0;0
imrxn_2243;0;0;0;0;0;0;1;1;1
imrxn_2244;0;0;0;0;0;0;1;0;0
imrxn_2245;1;0;0;0;0;0;0;1;1
imrxn_2246;1;1;1;1;1;1;1;1;1
imrxn_2247;1;0;0;1;0;0;0;0;0
imrxn_2248;1;0;0;0;0;0;1;0;0
imrxn_2249;0;0;0;1;0;0;0;0;0
imrxn_2250;1;1;1;1;1;1;1;1;1
